"Symbol","Description","Category2","Category3","GICS Sector","Market cap","Dividend yield","Price to TTM earnings","Price to TTM sales","Price to book value","Action"
"DE","Deere & Company","Common stocks","Large cap","Industrials","$108,558,484,518","1.21%","19.43","2.47","5.80","Analyze"
"IBM","International Business Machines Co","Common stocks","Large cap","Information Technology","$106,349,486,566","5.49%","19.27","1.98","5.59","Analyze"
"T","AT&T Inc.","Common stocks","Large cap","Communication Services","$106,237,000,000","8.03%","6.16","0.65","0.57","Analyze"
"INTC","Intel Corporation Corp","Common stocks","Large cap","Information Technology","$103,471,200,000","5.65%","4.18","1.33","1.00","Analyze"
"AXP","American Express","Common stocks","Large cap","Financials","$103,097,818,465","1.07%","13.19","2.29","4.60","Analyze"
"GS","Goldman Sachs Group Inc","Common stocks","Large cap","Financials","$102,591,111,202","2.81%","5.50","1.92","0.87","Analyze"
"NFLX","Netflix Inc","Common stocks","Large cap","Communication Services","$101,604,015,940","0.00%","18.91","3.34","5.40","Analyze"
"SBUX","Starbucks Corp","Common stocks","Large cap","Consumer Discretionary","$99,892,644,000","2.23%","22.44","3.19","-11.28","Analyze"
"SPGI","S&P Global Inc","Common stocks","Large cap","Financials","$99,623,120,000","1.08%","28.05","11.49","2.48","Analyze"
"PYPL","Paypal Holdings Inc","Common stocks","Large cap","Information Technology","$97,745,340,870","0.00%","26.83","3.79","4.66","Analyze"
"ADP","Automatic Data Processing Inc","Common stocks","Large cap","Information Technology","$94,973,052,470","1.81%","32.84","6.02","22.41","Analyze"
"CAT","Caterpillar Inc","Common stocks","Large cap","Industrials","$94,321,526,580","2.51%","14.61","1.79","5.56","Analyze"
"AMD","Advanced Micro Devices Inc","Common stocks","Large cap","Information Technology","$93,323,891,229","0.00%","27.42","4.94","1.68","Analyze"
"AMT","American Tower Corporation","REITs","Large cap","Real Estate","$88,265,966,019","2.97%","33.45","8.95","16.43","Analyze"
"CI","Cigna Corp","Common stocks","Large cap","Health Care","$87,180,852,397","1.52%","16.48","0.49","1.93","Analyze"
"BLK","Blackrock Inc","Common stocks","Large cap","Financials","$82,250,377,874","3.42%","13.05","4.18","2.14","Analyze"
"GILD","Gilead Sciences Inc","Common stocks","Large cap","Health Care","$80,792,062,217","4.42%","18.23","2.94","4.13","Analyze"
"C","Citigroup Inc","Common stocks","Large cap","Financials","$80,567,120,317","4.83%","4.56","1.13","0.40","Analyze"
"SYK","Stryker Corp","Common stocks","Large cap","Health Care","$78,656,048,640","1.33%","39.68","4.51","5.31","Analyze"
"REGN","Regeneron Pharmaceuticals Inc","Common stocks","Large cap","Health Care","$78,347,443,442","0.00%","9.96","4.75","3.97","Analyze"
"BA","Boeing","Common stocks","Large cap","Industrials","$78,323,693,191","0.00%","-16.00","1.28","-5.07","Analyze"
"MO","Altria Group Inc","Common stocks","Large cap","Consumer Staples","$78,263,784,225","8.13%","26.56","3.72","-45.38","Analyze"
"NOC","Northrop Grumman Corp","Common stocks","Large cap","Industrials","$77,948,193,775","1.30%","13.61","2.21","5.91","Analyze"
"MMC","Marsh & McLennan Inc","Common stocks","Large cap","Financials","$77,289,694,359","1.45%","23.67","3.81","6.99","Analyze"
"CB","Chubb Ltd","Common stocks","Large cap","Financials","$77,230,248,428","1.75%","9.44","1.90","1.37","Analyze"
"NOW","Servicenow Inc","Common stocks","Large cap","Information Technology","$77,119,560,000","0.00%","335.81","12.33","18.76","Analyze"
"MDLZ","Mondelez International Inc","Common stocks","Large cap","Consumer Staples","$76,230,887,205","2.56%","18.39","2.61","2.74","Analyze"
"VRTX","Vertex Pharmaceuticals Inc","Common stocks","Large cap","Health Care","$75,537,575,828","0.00%","30.88","9.50","6.94","Analyze"
"TJX","TJX Companies, Inc.","Common stocks","Large cap","Consumer Discretionary","$74,690,536,981","1.71%","24.23","1.43","12.45","Analyze"
"PLD","Prologis, Inc","REITs","Large cap","Real Estate","$73,223,250,685","3.01%","20.04","15.16","2.18","Analyze"
"EOG","EOG Resources Inc","Common stocks","Large cap","Energy","$72,493,707,371","2.07%","16.43","3.24","3.34","Analyze"
"ADI","Analog Devices Inc","Common stocks","Large cap","Information Technology","$72,470,721,718","2.09%","43.47","7.43","1.92","Analyze"
"PGR","Progressive Corp","Common stocks","Large cap","Financials","$72,371,558,315","1.53%","33.46","1.51","4.23","Analyze"
"GE","General Electric","Common stocks","Large cap","Industrials","$71,254,020,568","0.49%","-14.10","0.96","1.80","Analyze"
"TGT","Target Corp","Common stocks","Large cap","Consumer Discretionary","$70,466,208,653","2.43%","12.14","0.66","6.60","Analyze"
"DUK","Duke Energy Corp","Common stocks","Large cap","Utilities","$68,636,627,970","4.38%","18.69","2.63","1.39","Analyze"
"ZTS","Zoetis Inc","Common stocks","Large cap","Health Care","$68,245,240,443","0.84%","33.03","8.65","14.70","Analyze"
"AMAT","Applied Material Inc","Common stocks","Large cap","Information Technology","$68,127,899,565","1.56%","9.72","2.74","5.67","Analyze"
"SO","Southern Co","Common stocks","Large cap","Utilities","$68,021,454,467","4.13%","29.54","2.85","2.07","Analyze"
"ISRG","Intuitive Surgical Inc","Common stocks","Large cap","Health Care","$66,619,092,868","0.00%","32.58","11.28","5.49","Analyze"
"BKNG","Booking Holdings Inc","Common stocks","Large cap","Consumer Discretionary","$66,362,243,470","0.00%","124.82","5.30","14.84","Analyze"
"WM","Waste Management Inc","Common stocks","Large cap","Industrials","$64,273,703,683","1.61%","33.85","3.48","9.04","Analyze"
"FISV","Fiserv Inc","Common stocks","Large cap","Information Technology","$62,992,662,435","0.00%","35.93","3.79","1.95","Analyze"
"HUM","Humana Inc","Common stocks","Large cap","Health Care","$62,902,250,054","0.61%","20.79","0.73","4.12","Analyze"
"BDX","Becton Dickinson","Common stocks","Large cap","Health Care","$62,688,737,569","1.56%","34.70","3.13","2.59","Analyze"
"PNC","PNC Financial Services Group, Inc.","Common stocks","Large cap","Financials","$61,867,206,003","3.60%","12.05","3.14","1.23","Analyze"
"GD","General Dynamics Corp","Common stocks","Large cap","Industrials","$61,817,840,450","2.19%","19.05","1.61","3.47","Analyze"
"MMM","3M","Common stocks","Large cap","Industrials","$61,779,242,031","5.40%","11.08","1.75","4.15","Analyze"
"OXY","Occidental Petroleum Corp","Common stocks","Large cap","Energy","$61,507,844,149","0.61%","9.17","2.12","2.41","Analyze"
"CME","CME Group Inc Class A","Common stocks","Large cap","Financials","$60,909,566,510","2.28%","22.20","12.73","2.20","Analyze"
"PXD","Pioneer Natural Resource","Common stocks","Large cap","Energy","$60,392,962,656","7.96%","14.20","2.88","2.52","Analyze"
"SLB","Schlumberger Nv","Common stocks","Large cap","Energy","$59,588,177,562","1.42%","28.23","2.52","3.85","Analyze"
"USB","US Bancorp","Common stocks","Large cap","Financials","$59,178,777,835","4.60%","8.36","2.59","1.13","Analyze"
"AON","Aon Plc","Common stocks","Large cap","Financials","$58,972,676,482","0.76%","42.68","4.78","49.50","Analyze"
"ATVI","Activision Blizzard Inc","Common stocks","Large cap","Communication Services","$57,695,111,160","0.64%","23.26","6.95","3.23","Analyze"
"ITW","Illinois Tool Inc","Common stocks","Large cap","Industrials","$57,629,888,696","2.64%","21.45","3.88","16.08","Analyze"
"TFC","Truist Financial Corporation","Common stocks","Large cap","Financials","$57,446,099,323","4.46%","9.34","2.60","0.87","Analyze"
"CCI","Crown Castle International Corp.","REITs","Large cap","Real Estate","$57,433,997,584","4.38%","39.34","8.71","7.14","Analyze"
"HCA","HCA Healthcare, Inc.","Common stocks","Large cap","Health Care","$57,143,767,432","1.08%","8.55","0.96","-28.62","Analyze"
"CL","Colgate-Palmolive","Common stocks","Large cap","Consumer Staples","$57,120,549,379","2.66%","28.18","3.27","179.43","Analyze"
"CSX","CSX Corp","Common stocks","Large cap","Industrials","$56,935,601,806","1.47%","14.43","4.34","4.31","Analyze"
"BSX","Boston Scientific Corp","Common stocks","Large cap","Health Care","$56,668,202,328","0.00%","75.10","4.66","3.38","Analyze"
"MU","Micron Technology Inc","Common stocks","Large cap","Information Technology","$55,858,721,846","0.83%","6.47","1.79","1.22","Analyze"
"ETN","Eaton Corporation, PLC","Common stocks","Large cap","Industrials","$54,320,154,000","2.32%","24.50","2.75","3.27","Analyze"
"DG","Dollar General Corp","Common stocks","Large cap","Consumer Discretionary","$54,049,241,986","0.86%","22.53","1.59","8.63","Analyze"
"D","Dominion Energy Inc","Common stocks","Large cap","Utilities","$53,696,430,407","4.03%","18.16","3.74","1.85","Analyze"
"SHW","Sherwin Williams","Common stocks","Large cap","Materials","$53,339,872,307","1.14%","29.03","2.63","23.72","Analyze"
"MPC","Marathon Petroleum Corp","Common stocks","Large cap","Energy","$52,884,067,273","2.17%","4.76","0.39","2.15","Analyze"
"KDP","Keurig Dr Pepper Inc.","Common stocks","Large cap","Consumer Staples","$52,352,117,216","2.05%","22.10","4.07","2.08","Analyze"
"APD","Air Products And Chemicals Inc","Common stocks","Large cap","Materials","$51,554,955,376","2.71%","22.95","4.53","3.67","Analyze"
"MET","Metlife Inc","Common stocks","Large cap","Financials","$51,549,123,649","3.06%","7.72","0.78","0.95","Analyze"
"EW","Edwards Lifesciences Corp","Common stocks","Large cap","Health Care","$51,300,288,877","0.00%","33.10","9.58","8.71","Analyze"
"CHTR","Charter Communications Inc Class A","Common stocks","Large cap","Communication Services","$51,136,405,652","0.00%","9.81","0.98","4.11","Analyze"
"PSA","Public Storage","REITs","Large cap","Real Estate","$50,482,122,569","2.68%","27.14","13.94","5.25","Analyze"
"ICE","Intercontinental Exchange Inc","Common stocks","Large cap","Financials","$50,406,439,389","1.62%","12.46","5.48","2.24","Analyze"
"EL","Estee Lauder Inc Class A","Common stocks","Large cap","Consumer Staples","$50,222,385,312","1.10%","14.77","2.77","8.06","Analyze"
"MCK","Mckesson Corp","Common stocks","Large cap","Health Care","$49,920,461,631","0.56%","45.36","0.19","-22.24","Analyze"
"NSC","Norfolk Southern Corp","Common stocks","Large cap","Industrials","$49,849,583,688","2.25%","16.47","4.37","3.71","Analyze"
"MRNA","Moderna, Inc.","Common stocks","Large cap","Health Care","$49,091,479,588","0.00%","3.28","2.17","2.81","Analyze"
"ADM","Archer-Daniels-Midland Company","Common stocks","Large cap","Consumer Staples","$48,550,237,491","1.80%","15.74","0.54","2.04","Analyze"
"EQIX","Equinix, Inc.","REITs","Large cap","Real Estate","$48,081,322,417","2.29%","97.20","7.10","4.36","Analyze"
"LRCX","Lam Research Corp","Common stocks","Large cap","Information Technology","$47,990,605,660","1.77%","9.86","2.87","7.43","Analyze"
"MNST","Monster Beverage Corp","Common stocks","Large cap","Consumer Staples","$47,957,117,755","0.00%","34.75","8.25","6.86","Analyze"
"GM","General Motors","Common stocks","Large cap","Consumer Discretionary","$47,080,400,854","0.28%","5.29","0.36","0.75","Analyze"
"SRE","Sempra Energy","Common stocks","Large cap","Utilities","$46,376,489,339","3.04%","46.56","3.46","8.00","Analyze"
"EMR","Emerson Electric","Common stocks","Large cap","Industrials","$46,340,181,000","2.61%","16.09","2.45","4.36","Analyze"
"DVN","Devon Energy Corp","Common stocks","Large cap","Energy","$46,065,180,000","4.60%","12.52","3.30","4.83","Analyze"
"FIS","Fidelity National Information Services","Common stocks","Large cap","Information Technology","$46,042,216,046","2.36%","49.63","3.25","0.96","Analyze"
"ORLY","Oreilly Automotive Inc","Common stocks","Large cap","Consumer Discretionary","$45,878,535,559","0.00%","21.58","3.39","-140.98","Analyze"
"MAR","Marriott International Inc","Common stocks","Large cap","Consumer Discretionary","$45,599,465,799","0.43%","30.29","2.90","25.42","Analyze"
"GIS","General Mills Inc","Common stocks","Large cap","Consumer Staples","$45,352,059,017","2.72%","19.96","2.44","4.56","Analyze"
"F","Ford Motor Company","Common stocks","Large cap","Consumer Discretionary","$44,865,018,621","3.92%","3.95","0.33","1.01","Analyze"
"SNPS","Synopsys Inc","Common stocks","Large cap","Information Technology","$44,799,965,565","0.00%","42.05","9.41","7.62","Analyze"
"MCO","Moodys Corp","Common stocks","Large cap","Financials","$44,603,345,000","1.12%","22.37","7.26","18.46","Analyze"
"CTVA","Corteva, Inc.","Common stocks","Large cap","Materials","$44,181,885,000","0.93%","25.52","2.75","1.71","Analyze"
"LHX","L3Harris Technologies, Inc.","Common stocks","Large cap","Industrials","$44,095,421,499","1.89%","23.91","2.54","2.30","Analyze"
"PSX","Phillips 66","Common stocks","Large cap","Energy","$43,828,565,448","4.08%","17.06","0.35","1.99","Analyze"
"VLO","Valero Energy Corp","Common stocks","Large cap","Energy","$43,675,552,114","3.49%","17.03","0.33","2.30","Analyze"
"AZO","Autozone Inc","Common stocks","Large cap","Consumer Discretionary","$43,526,331,870","0.00%","18.34","2.79","-14.08","Analyze"
"AEP","American Electric Power Inc","Common stocks","Large cap","Utilities","$43,384,834,949","3.65%","16.59","2.54","791.30","Analyze"
"KLAC","KLA-Tencor Corporation","Common stocks","Large cap","Information Technology","$42,448,751,641","1.48%","12.65","4.91","9.76","Analyze"
"CDNS","Cadence Design Systems Inc","Common stocks","Large cap","Information technology","$42,370,427,700","0.00%","54.49","13.43","14.69","Analyze"
"STZ","Constellation Brands Class A","Common stocks","Large cap","Consumer Staples","$42,329,396,933","1.40%","82.64","4.80","3.04","Analyze"
"CNC","Centene Corp","Common stocks","Large cap","Health Care","$42,159,802,980","0.00%","8.63","0.32","1.58","Analyze"
"FCX","Freeport-McMoRan, Inc.","Common stocks","Large cap","Materials","$41,820,449,388","1.02%","8.15","1.70","2.81","Analyze"
"KHC","Kraft Heinz","Common stocks","Large cap","Consumer Staples","$41,750,732,180","4.62%","34.95","1.63","0.86","Analyze"
"ADSK","Autodesk Inc","Common stocks","Large cap","Information Technology","$41,235,553,939","0.00%","82.97","9.40","48.56","Analyze"
"APH","Amphenol Corp","Common stocks","Large cap","Information Technology","$41,233,487,150","1.15%","23.86","3.60","6.26","Analyze"
"RSG","Republic Services Inc","Common stocks","Large cap","Industrials","$41,102,923,501","1.43%","30.42","3.52","4.56","Analyze"
"CMG","Chipotle Mexican Grill Inc","Common stocks","Large cap","Consumer Discretionary","$40,975,898,982","0.00%","60.51","5.24","19.40","Analyze"
"FTNT","Fortinet Inc","Common stocks","Large cap","Information Technology","$40,395,918,842","0.00%","60.04","11.26","175.96","Analyze"
"CTAS","Cintas Corp","Common stocks","Large cap","Industrials","$40,385,590,410","1.00%","33.10","5.30","12.13","Analyze"
"ECL","Ecolab Inc","Common stocks","Large cap","Materials","$40,323,123,040","1.43%","36.70","3.07","5.74","Analyze"
"FDX","FedEx Corporation","Common stocks","Large cap","Industrials","$39,868,274,332","2.46%","7.71","0.43","1.61","Analyze"
"PAYX","Paychex Inc","Common stocks","Large cap","Information Technology","$39,600,818,258","2.62%","28.72","8.81","11.88","Analyze"
"DXCM","Dexcom Inc","Common stocks","Large cap","Health Care","$39,344,545,591","0.00%","184.85","15.30","17.87","Analyze"
"HES","Hess Corp","Common stocks","Large cap","Energy","$39,252,977,783","1.08%","53.10","4.98","6.09","Analyze"
"NXPI","NXP Semiconductors Nv","Common stocks","Large cap","Information Technology","$38,733,274,473","2.09%","24.87","3.33","5.80","Analyze"
"ROP","Roper Technologies Inc","Common stocks","Large cap","Information Technology","$38,706,240,487","0.68%","13.38","6.36","2.85","Analyze"
"TWTR","Twitter Inc","Common stocks","Large cap","Communication Services","$38,537,796,215","0.00%","171.15","7.35","6.49","Analyze"
"KMI","Kinder Morgan Inc","Common stocks","Large cap","Energy","$38,458,724,219","6.27%","37.10","2.45","1.26","Analyze"
"MSI","Motorola Solutions Inc","Common stocks","Large cap","Information Technology","$37,979,762,897","1.38%","29.59","4.58","-118.72","Analyze"
"TRV","Travelers Companies Inc","Common stocks","Large cap","Financials","$37,372,069,980","2.28%","9.64","1.06","1.48","Analyze"
"A","Agilent Technologies Inc","Common stocks","Large cap","Health Care","$37,286,309,792","0.67%","30.87","5.79","7.22","Analyze"
"KMB","Kimberly Clark Corp","Common stocks","Large cap","Consumer Staples","$37,192,471,246","4.14%","21.45","1.88","53.33","Analyze"
"AJG","Arthur J Gallagher","Common stocks","Large cap","Financials","$37,139,027,520","1.13%","38.45","4.39","4.12","Analyze"
"EXC","Exelon Corp","Common stocks","Large cap","Utilities","$37,071,662,805","3.36%","14.17","1.17","1.56","Analyze"
"BIIB","Biogen Inc","Common stocks","Large cap","Health Care","$36,971,902,115","0.00%","25.43","3.42","3.28","Analyze"
"SYY","Sysco Corp","Common stocks","Large cap","Consumer Staples","$36,891,975,921","2.61%","37.23","0.56","28.17","Analyze"
"AIG","American International Group Inc","Common stocks","Large cap","Financials","$36,834,557,967","2.62%","3.75","0.69","0.65","Analyze"
"AFL","Aflac Inc","Common stocks","Large cap","Financials","$36,663,794,054","2.61%","9.03","1.72","1.24","Analyze"
"WMB","Williams Inc","Common stocks","Large cap","Energy","$35,763,859,081","5.64%","24.69","3.27","3.20","Analyze"
"TEL","TE Connectivity Ltd","Common stocks","Large cap","Information Technology","$35,716,417,557","1.89%","14.06","2.31","3.37","Analyze"
"COF","Capital One Financial Corp","Common stocks","Large cap","Financials","$35,714,238,939","2.56%","3.26","1.13","0.64","Analyze"
"ALL","Allstate Corp","Common stocks","Large cap","Financials","$35,514,137,307","2.53%","10.20","0.71","1.55","Analyze"
"ENPH","Enphase Energy Inc","Common stocks","Large cap","Information Technology","$34,972,359,260","0.00%","209.27","22.98","104.69","Analyze"
"JCI","Johnson Controls International Plc","Common stocks","Large cap","Industrials","$34,902,017,749","2.72%","28.47","1.41","2.13","Analyze"
"PCG","Pacific Gas & Electric Co.","Common stocks","Large cap","Utilities","$34,836,268,875","0.00%","138.57","1.60","1.64","Analyze"
"O","Realty Income Corporation","REITs","Large cap","Real Estate","$34,501,662,849","5.06%","75.46","14.11","1.37","Analyze"
"TT","Trane Technologies plc","Common stocks","Large cap","Industrials","$34,254,777,772","1.75%","23.57","2.37","5.69","Analyze"
"PRU","Prudential Financial Inc","Common stocks","Large cap","Financials","$33,907,800,000","5.12%","7.01","0.50","0.77","Analyze"
"MCHP","Microchip Technology Inc","Common stocks","Large cap","Information Technology","$33,828,607,076","1.72%","25.59","4.96","5.58","Analyze"
"NEM","Newmont Corporation","Common stocks","Large cap","Materials","$33,556,810,906","5.12%","31.46","2.71","1.55","Analyze"
"EA","Electronic Arts Inc","Common stocks","Large cap","Communication Services","$33,554,509,821","0.60%","42.02","4.80","4.35","Analyze"
"ANET","Arista Networks Inc","Common stocks","Large cap","Information Technology","$33,312,624,542","0.00%","34.92","10.55","7.84","Analyze"
"HLT","Hilton Worldwide Holdings Inc","Common stocks","Large cap","Consumer Discretionary","$33,005,001,759","0.25%","44.29","4.97","-46.32","Analyze"
"XEL","Xcel Energy Inc","Common stocks","Large cap","Utilities","$32,934,347,979","3.16%","20.26","2.41","2.08","Analyze"
"HSY","Hershey Foods","Common stocks","Large cap","Consumer Staples","$32,832,710,705","1.66%","20.50","3.51","11.36","Analyze"
"IQV","IQVIA Holdings, Inc.","Common stocks","Large cap","Health Care","$32,808,609,966","0.00%","29.81","2.34","5.43","Analyze"
"MSCI","MSCI Inc","Common stocks","Large cap","Financials","$32,758,256,345","1.07%","42.44","15.42","-36.57","Analyze"
"ALB","Albemarle Corp","Common stocks","Large cap","Materials","$32,573,508,990","0.57%","113.64","8.98","5.49","Analyze"
"MTB","M&T Bank Corp","Common stocks","Large cap","Financials","$32,524,795,336","2.63%","19.03","5.47","1.80","Analyze"
"PH","Parker-Hannifin Corp","Common stocks","Large cap","Industrials","$32,483,887,806","1.86%","19.35","2.08","3.66","Analyze"
